suite,scenario,time_s,time_min,temperature_K,ambient_K,surface_type,surface_K,light,sun_fraction,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
combined,hot_sun_wind_0,0.0,0.0,300.0,270.0,hot,340.0,sun,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,hot_sun_wind_0,5.0,0.083333,300.0672395931679,270.0,hot,340.0,sun,1.0,0.0,600.0,-187.5,-201.3905630422332,212.5,11.109436957766803,0.0,423.6094369577668,3.0,-0.9375,-1.006952815211166,1.0625,0.05554718478883402,0.0,2.118047184788834
combined,hot_sun_wind_0,10.0,0.166667,300.1341690225688,270.0,hot,340.0,sun,1.0,0.0,598.991406102481,-187.92024745729952,-201.91575341946736,212.5,10.584246580532636,0.0,421.65540522571416,5.994957030512405,-1.8771012372864975,-2.016531582308503,2.125,0.10846841769149719,0.0,4.226324210917404
combined,hot_sun_wind_0,15.0,0.25,300.2007896632584,270.0,hot,340.0,sun,1.0,0.0,597.9874646614678,-188.33855639105508,-202.4388719261937,212.5,10.061128073806287,0.0,419.710036344219,8.984894353819746,-2.8187940192417726,-3.0287259419394714,3.1875,0.15877405806052863,0.0,6.3248743926385
combined,hot_sun_wind_0,20.0,0.333333,300.2671028846941,270.0,hot,340.0,sun,1.0,0.0,596.9881550511243,-188.75493539536484,-202.95992461074832,212.5,9.540075389251683,0.0,417.77329504501114,11.969835129075367,-3.762568696218597,-4.043525564993213,4.25,0.20647443500678705,0.0,8.413740867863554
combined,hot_sun_wind_0,25.0,0.416667,300.33311005075376,270.0,hot,340.0,sun,1.0,0.0,595.9934567295884,-189.1693930293382,-203.47891752442953,212.5,9.021082475570466,0.0,415.8451461758207,14.94980241272331,-4.708415661365287,-5.06092015261536,5.3125,0.2515798473846394,0.0,10.492966598742658
combined,hot_sun_wind_0,30.0,0.5,300.3988125197538,270.0,hot,340.0,sun,1.0,0.0,595.0033492386935,-189.58193781721099,-203.9958567212465,212.5,8.504143278753503,0.0,413.92555470023603,17.924819158916776,-5.656325350451342,-6.080899436221593,6.375,0.29410056377840693,0.0,12.562594372243838
combined,hot_sun_wind_0,35.0,0.583333,300.4642116444677,270.0,hot,340.0,sun,1.0,0.0,594.0178122036932,-189.9925782484612,-204.51074825767037,212.5,7.989251742329628,0.0,412.01448569756167,20.894908219935242,-6.606288241693648,-7.103453177509944,7.4375,0.3340468224900551,0.0,14.622666800731647
combined,hot_sun_wind_0,40.0,0.666667,300.5293087721443,270.0,hot,340.0,sun,1.0,0.0,593.0368253329846,-190.4013227779231,-205.0235981923877,212.5,7.476401807612291,0.0,410.1119043626737,23.86009234660016,-7.558294855583264,-8.128571168471883,8.5,0.37142883152811657,0.0,16.673226322545016
combined,hot_sun_wind_0,45.0,0.75,300.5941052445262,270.0,hot,340.0,sun,1.0,0.0,592.0603684178354,-190.8081798259019,-205.53441258605565,212.5,6.965587413944348,0.0,408.2177760058779,26.82039418868934,-8.512335754712772,-9.156243231402161,9.5625,0.4062567685978383,0.0,18.714315202574404
combined,hot_sun_wind_0,50.0,0.833333,300.6586023978679,270.0,hot,340.0,sun,1.0,0.0,591.0884213321071,-191.2131577782887,-206.04319750106157,212.5,6.45680249893843,0.0,406.3320660527569,29.775836295349876,-9.468401543604216,-10.18645921890747,10.625,0.4385407810925305,0.0,20.74597553283819
combined,hot_sun_wind_0,55.0,0.916667,300.72280156295426,270.0,hot,340.0,sun,1.0,0.0,590.1209640319812,-191.61626498667454,-206.54995900128336,212.5,5.950040998716645,0.0,404.4547400440233,32.726441115509786,-10.426482868537589,-11.219209013913886,11.6875,0.4682909860861137,0.0,22.76824923305831
combined,hot_sun_wind_0,60.0,1.0,300.7867040651186,270.0,hot,340.0,sun,1.0,0.0,589.1579765556861,-192.01750976846412,-207.05470315185295,212.5,5.445296848147052,0.0,402.585763635369,35.672230998288214,-11.38657041737991,-12.254482529673151,12.75,0.49551747032684895,0.0,24.781178051235155
combined,hot_sun_wind_0,65.0,1.083333,300.850311224261,270.0,hot,340.0,sun,1.0,0.0,588.1994390232207,-192.41690040699132,-207.5574360189238,212.5,4.942563981076205,0.0,400.72510259730564,38.61322819340432,-12.348654919414866,-13.292269709767771,13.8125,0.52023029023223,0.0,26.784803564221683
combined,hot_sun_wind_0,70.0,1.166667,300.91362435486656,270.0,hot,340.0,sun,1.0,0.0,587.2453316360848,-192.8144451516314,-208.0581636694379,212.5,4.441836330562097,0.0,398.87272281501544,41.54945485158474,-13.312727145173023,-14.33256052811496,14.875,0.5424394718850405,0.0,28.77916717829676
combined,hot_sun_wind_0,75.0,1.25,300.9766447660234,270.0,hot,340.0,sun,1.0,0.0,586.2956346770017,-193.21015221791598,-208.55689217089844,212.5,3.9431078291015638,0.0,397.0285902881873,44.48093302496975,-14.278777906262603,-15.375344988969452,15.9375,0.5621550110305483,0.0,30.764310129737694
combined,hot_sun_wind_0,80.0,1.333333,301.039373761441,270.0,hot,340.0,sun,1.0,0.0,585.3503285096488,-193.6040297876463,-209.05362759114274,212.5,3.4463724088572576,0.0,395.1926711308597,47.407684667518,-15.246798055200834,-16.42061312692517,17.0,0.5793868730748345,0.0,32.740273485391995
