suite,scenario,time_s,time_min,temperature_K,ambient_K,surface_K,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
conduction,hot_surface,0.0,0.0,300.0,270.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conduction,hot_surface,5.0,0.083333,300.0952380952381,270.0,340.0,600.0,0.0,0.0,0.0,0.0,0.0,600.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
conduction,hot_surface,10.0,0.166667,300.19024943310654,270.0,340.0,598.5714285714289,0.0,0.0,0.0,0.0,0.0,598.5714285714289,5.992857142857145,0.0,0.0,0.0,0.0,0.0,5.992857142857145
conduction,hot_surface,15.0,0.25,300.2850345535039,270.0,340.0,597.1462585034019,0.0,0.0,0.0,0.0,0.0,597.1462585034019,8.978588435374155,0.0,0.0,0.0,0.0,0.0,8.978588435374155
conduction,hot_surface,20.0,0.333333,300.3795939950432,270.0,340.0,595.7244816974412,0.0,0.0,0.0,0.0,0.0,595.7244816974412,11.957210843861361,0.0,0.0,0.0,0.0,0.0,11.957210843861361
conduction,hot_surface,25.0,0.416667,300.473928295055,270.0,340.0,594.3060900743521,0.0,0.0,0.0,0.0,0.0,594.3060900743521,14.928741294233122,0.0,0.0,0.0,0.0,0.0,14.928741294233122
conduction,hot_surface,30.0,0.5,300.56803798959055,270.0,340.0,592.8910755741754,0.0,0.0,0.0,0.0,0.0,592.8910755741754,17.893196672103997,0.0,0.0,0.0,0.0,0.0,17.893196672103997
conduction,hot_surface,35.0,0.583333,300.66192361342485,270.0,340.0,591.4794301561417,0.0,0.0,0.0,0.0,0.0,591.4794301561417,20.850593822884704,0.0,0.0,0.0,0.0,0.0,20.850593822884704
conduction,hot_surface,40.0,0.666667,300.75558570005956,270.0,340.0,590.0711457986273,0.0,0.0,0.0,0.0,0.0,590.0711457986273,23.800949551877842,0.0,0.0,0.0,0.0,0.0,23.800949551877842
conduction,hot_surface,45.0,0.75,300.8490247817261,270.0,340.0,588.6662144991067,0.0,0.0,0.0,0.0,0.0,588.6662144991067,26.744280624373374,0.0,0.0,0.0,0.0,0.0,26.744280624373374
conduction,hot_surface,50.0,0.833333,300.94224138938864,270.0,340.0,587.2646282741086,0.0,0.0,0.0,0.0,0.0,587.2646282741086,29.680603765743918,0.0,0.0,0.0,0.0,0.0,29.680603765743918
conduction,hot_surface,55.0,0.916667,301.0352360527472,270.0,340.0,585.8663791591704,0.0,0.0,0.0,0.0,0.0,585.8663791591704,32.60993566153977,0.0,0.0,0.0,0.0,0.0,32.60993566153977
conduction,hot_surface,60.0,1.0,301.1280093002407,270.0,340.0,584.4714592087917,0.0,0.0,0.0,0.0,0.0,584.4714592087917,35.53229295758373,0.0,0.0,0.0,0.0,0.0,35.53229295758373
conduction,hot_surface,65.0,1.083333,301.2205616590497,270.0,340.0,583.0798604963894,0.0,0.0,0.0,0.0,0.0,583.0798604963894,38.44769226006568,0.0,0.0,0.0,0.0,0.0,38.44769226006568
conduction,hot_surface,70.0,1.166667,301.3128936550996,270.0,340.0,581.6915751142549,0.0,0.0,0.0,0.0,0.0,581.6915751142549,41.356150135636945,0.0,0.0,0.0,0.0,0.0,41.356150135636945
conduction,hot_surface,75.0,1.25,301.4050058130636,270.0,340.0,580.3065951735064,0.0,0.0,0.0,0.0,0.0,580.3065951735064,44.25768311150448,0.0,0.0,0.0,0.0,0.0,44.25768311150448
conduction,hot_surface,80.0,1.333333,301.49689865636583,270.0,340.0,578.9249128040458,0.0,0.0,0.0,0.0,0.0,578.9249128040458,47.1523076755247,0.0,0.0,0.0,0.0,0.0,47.1523076755247
conduction,hot_surface,85.0,1.416667,301.588572707184,270.0,340.0,577.5465201545126,0.0,0.0,0.0,0.0,0.0,577.5465201545126,50.04004027629727,0.0,0.0,0.0,0.0,0.0,50.04004027629727
conduction,hot_surface,90.0,1.5,301.6800284864526,270.0,340.0,576.1714093922396,0.0,0.0,0.0,0.0,0.0,576.1714093922396,52.92089732325846,0.0,0.0,0.0,0.0,0.0,52.92089732325846
conduction,hot_surface,95.0,1.583333,301.77126651386584,270.0,340.0,574.7995727032107,0.0,0.0,0.0,0.0,0.0,574.7995727032107,55.79489518677451,0.0,0.0,0.0,0.0,0.0,55.79489518677451
conduction,hot_surface,100.0,1.666667,301.8622873078804,270.0,340.0,573.4310022920124,0.0,0.0,0.0,0.0,0.0,573.4310022920124,58.662050198234574,0.0,0.0,0.0,0.0,0.0,58.662050198234574
conduction,hot_surface,105.0,1.75,301.9530913857188,270.0,340.0,572.0656903817937,0.0,0.0,0.0,0.0,0.0,572.0656903817937,61.52237865014354,0.0,0.0,0.0,0.0,0.0,61.52237865014354
conduction,hot_surface,110.0,1.833333,302.0436792633718,270.0,340.0,570.7036292142184,0.0,0.0,0.0,0.0,0.0,570.7036292142184,64.37589679621463,0.0,0.0,0.0,0.0,0.0,64.37589679621463
conduction,hot_surface,115.0,1.916667,302.1340514556019,270.0,340.0,569.3448110494228,0.0,0.0,0.0,0.0,0.0,569.3448110494228,67.22262085146174,0.0,0.0,0.0,0.0,0.0,67.22262085146174
