suite,scenario,time_s,time_min,temperature_K,ambient_K,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
convection,wind_0,0.0,0.0,300.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
convection,wind_0,5.0,0.083333,299.9702380952381,270.0,0.0,0.0,-187.5,0.0,0.0,0.0,0.0,-187.5,0.0,-0.9375,0.0,0.0,0.0,0.0,-0.9375
convection,wind_0,10.0,0.166667,299.9405057161753,270.0,0.0,0.0,-187.31398809523796,0.0,0.0,0.0,0.0,-187.31398809523796,0.0,-1.87406994047619,0.0,0.0,0.0,0.0,-1.87406994047619
convection,wind_0,15.0,0.25,299.9108028335204,270.0,0.0,0.0,-187.12816072609576,0.0,0.0,0.0,0.0,-187.12816072609576,0.0,-2.8097107441066687,0.0,0.0,0.0,0.0,-2.8097107441066687
convection,wind_0,20.0,0.333333,299.88112941801097,270.0,0.0,0.0,-186.94251770950245,0.0,0.0,0.0,0.0,-186.94251770950245,0.0,-3.744423332654181,0.0,0.0,0.0,0.0,-3.744423332654181
convection,wind_0,25.0,0.416667,299.85148544041374,270.0,0.0,0.0,-186.75705886256856,0.0,0.0,0.0,0.0,-186.75705886256856,0.0,-4.678208626967024,0.0,0.0,0.0,0.0,-4.678208626967024
convection,wind_0,30.0,0.5,299.8218708715244,270.0,0.0,0.0,-186.57178400258587,0.0,0.0,0.0,0.0,-186.57178400258587,0.0,-5.611067546979952,0.0,0.0,0.0,0.0,-5.611067546979952
convection,wind_0,35.0,0.583333,299.79228568216774,270.0,0.0,0.0,-186.38669294702765,0.0,0.0,0.0,0.0,-186.38669294702765,0.0,-6.5430010117150905,0.0,0.0,0.0,0.0,-6.5430010117150905
convection,wind_0,40.0,0.666667,299.76272984319735,270.0,0.0,0.0,-186.2017855135484,0.0,0.0,0.0,0.0,-186.2017855135484,0.0,-7.4740099392828325,0.0,0.0,0.0,0.0,-7.4740099392828325
convection,wind_0,45.0,0.75,299.73320332549577,270.0,0.0,0.0,-186.01706151998343,0.0,0.0,0.0,0.0,-186.01706151998343,0.0,-8.404095246882749,0.0,0.0,0.0,0.0,-8.404095246882749
