suite,scenario,time_s,time_min,temperature_K,ambient_K,sun_fraction,solar_W_m2,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
radiation,sun,0.0,0.0,300.0,270.0,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiation,sun,5.0,0.083333,300.0017634026917,270.0,1.0,1000.0,0.0,0.0,-201.3905630422332,212.5,11.109436957766803,0.0,11.109436957766803,0.0,0.0,-1.006952815211166,1.0625,0.05554718478883402,0.0,0.05554718478883402
radiation,sun,10.0,0.166667,300.0035246198349,270.0,1.0,1000.0,0.0,0.0,-201.40433199802177,212.5,11.095668001978225,0.0,11.095668001978225,0.0,0.0,-2.013974475201275,2.125,0.11102552479872514,0.0,0.11102552479872514
radiation,sun,15.0,0.25,300.0052836540998,270.0,1.0,1000.0,0.0,0.0,-201.41808413101768,212.5,11.081915868982321,0.0,11.081915868982321,0.0,0.0,-3.0210648958563633,3.1875,0.16643510414363674,0.0,0.16643510414363674
radiation,sun,20.0,0.333333,300.0070405081536,270.0,1.0,1000.0,0.0,0.0,-201.43181946117326,212.5,11.068180538826738,0.0,11.068180538826738,0.0,0.0,-4.0282239931622295,4.25,0.22177600683777043,0.0,0.22177600683777043
radiation,sun,25.0,0.416667,300.0087951846602,270.0,1.0,1000.0,0.0,0.0,-201.44553800841837,212.5,11.054461991581633,0.0,11.054461991581633,0.0,0.0,-5.035451683204322,5.3125,0.2770483167956786,0.0,0.2770483167956786
radiation,sun,30.0,0.5,300.0105476862804,270.0,1.0,1000.0,0.0,0.0,-201.45923979266095,212.5,11.040760207339048,0.0,11.040760207339048,0.0,0.0,-6.042747882167626,6.375,0.33225211783237385,0.0,0.33225211783237385
radiation,sun,35.0,0.583333,300.0122980156719,270.0,1.0,1000.0,0.0,0.0,-201.47292483378658,212.5,11.027075166213422,0.0,11.027075166213422,0.0,0.0,-7.05011250633656,7.4375,0.387387493663441,0.0,0.387387493663441
radiation,sun,40.0,0.666667,300.0140461754891,270.0,1.0,1000.0,0.0,0.0,-201.48659315165906,212.5,11.013406848340935,0.0,11.013406848340935,0.0,0.0,-8.057545472094855,8.5,0.44245452790514567,0.0,0.44245452790514567
radiation,sun,45.0,0.75,300.01579216838337,270.0,1.0,1000.0,0.0,0.0,-201.50024476611983,212.5,10.999755233880165,0.0,10.999755233880165,0.0,0.0,-9.065046695925453,9.5625,0.4974533040745465,0.0,0.4974533040745465
radiation,sun,50.0,0.833333,300.0175359970029,270.0,1.0,1000.0,0.0,0.0,-201.51387969698789,212.5,10.986120303012115,0.0,10.986120303012115,0.0,0.0,-10.072616094410394,10.625,0.5523839055896071,0.0,0.5523839055896071
radiation,sun,55.0,0.916667,300.01927766399274,270.0,1.0,1000.0,0.0,0.0,-201.52749796406096,212.5,10.972502035939044,0.0,10.972502035939044,0.0,0.0,-11.080253584230698,11.6875,0.6072464157693023,0.0,0.6072464157693023
radiation,sun,60.0,1.0,300.0210171719948,270.0,1.0,1000.0,0.0,0.0,-201.54109958711484,212.5,10.958900412885157,0.0,10.958900412885157,0.0,0.0,-12.087959082166273,12.75,0.6620409178337281,0.0,0.6620409178337281
